By B. Margon
 SS433 radial velocity database
 JD is measured in days
 columns Red and Blue are (lambda_observed-lambda_intrinsic)/lambda_intrinsic
 |z|>1.0 indicates absent value
  N      JD    Obs   Red    Blue
  166  4103.7   0   0.044   0.024
  167  4104.7   0   0.041   9.999
  168  4107.5   0   0.077   0.019
  169  4108.5   0   0.080  -0.003
  170  4110.0   0   0.070   9.999
  171  4110.7   0   0.074   0.018
  172  4111.8   0   0.060   0.014
  173  4112.8   0   0.061   9.999
  174  4114.8   0   0.082   0.010
  175  4116.4   0   0.102  -0.014
  176  4118.4   0   9.999  -0.030
  177  4127.7   0   9.999  -0.044
  178  4129.7   0   0.121  -0.053
  179  4130.5   0   0.112  -0.052
  180  4131.5   0   0.114  -0.055
  181  4132.7   0   0.113  -0.055
  182  4133.7   0   0.128  -0.063
  183  4134.6   0   0.131  -0.064
  184  4135.7   0   0.149  -0.071
  185  4136.7   0   0.148  -0.070
  186  4137.6   0   0.151   9.999
  187  4138.7   0   0.151  -0.071
  188  4139.2   0   9.999  -0.074
  189  4139.8   0   0.149  -0.071
  190  4140.6   0   0.152   9.999
  191  4142.2   0   9.999  -0.091
  192  4142.7   0   0.173  -0.093
  193  4143.2   0   9.999  -0.091
  194  4143.7   0   0.170  -0.084
  195  4164.6   0   0.173   9.999
  196  4165.3   0   0.174  -0.104
  197  4166.3   0   9.999  -0.105
  198  4167.4   0   9.999  -0.110
  199  4168.6   0   0.147  -0.082
  200  4169.5   0   0.146  -0.078
  201  4170.6   0   0.153  -0.081
  202  4173.6   0   0.179  -0.088
  203  4178.3   0   0.178  -0.085
  204  4183.3   0   0.127  -0.053
  205  4184.3   0   0.135  -0.062
  206  4185.3   0   0.146  -0.067
  207  4186.3   0   0.130  -0.050
  208  4188.6   0   0.113  -0.032
  209  4189.6   0   0.112  -0.032
  210  4190.6   0   9.999  -0.032
  211  4192.6   0   0.102  -0.031
  212  4193.6   0   0.109  -0.039
  213  4194.6   0   0.102  -0.040
  214  4195.3   0   0.103   9.999
  215  4195.6   0   9.999  -0.031
  216  4196.6   0   0.113  -0.049
  217  4201.6   0   0.078  -0.001
  218  4202.3   0   0.071  -0.004
  219  4203.3   0   0.073   9.999
  220  4204.6   0   0.076   9.999
  221  4206.3   0   0.059   9.999
  222  4207.2   0   0.057   0.020
  223  4208.3   0   0.057   0.022
  224  4209.3   0   0.056   0.021
  225  4210.3   0   0.059   0.020
  226  4211.2   0   0.064   0.030
  227  4212.2   0   0.058   0.039
  228  4214.2   0   9.999   0.056
  229  4226.2   0   0.022   0.067
  230  4235.6   0   0.012   0.059
  231  4278.1   0   0.077  -0.019
  232  4279.1   0   0.077  -0.019
  233  4280.1   0   0.082  -0.023
  234  4281.1   0   0.091  -0.023
  235  4282.1   0   0.086  -0.021
  236  4283.1   0   0.085  -0.020
  237  4299.0   0   9.999  -0.079
  238  4308.1   0   0.144  -0.085
  239  4309.0   0   0.156   9.999
  240  4311.0   0   9.999  -0.105
  241  4316.0   0   9.999  -0.099
  242  4318.0   0   9.999  -0.117
  243  4323.0   0   0.170  -0.106
  244  4340.0   0   0.141   9.999
  245  4340.6   0   0.144  -0.078
  246  4341.0   0   0.145   9.999
  247  4342.0   0   0.146  -0.084
  248  4343.0   0   0.139  -0.083
  249  4345.0   0   0.121  -0.064
  250  4346.0   0   0.121  -0.062
  251  4347.0   0   9.999  -0.063
  252  4348.9   0   0.131  -0.060
  253  4349.9   0   0.123  -0.044
  254  4352.9   0   0.105  -0.041
  255  4363.0   0   0.076   9.999
  256  4364.0   0   0.074   9.999
  257  4372.5   0   0.043   0.024
  258  4375.9   0   0.034   0.040
  259  4376.9   0   0.031   0.044
  260  4377.9   0   0.023   0.043
  261  4378.9   0   0.019   0.043
  262  4396.9   0  -0.020   0.091
  263  4397.8   0  -0.020   0.085
  264  4398.9   0   0.011   0.075
  265  4402.0   0  -0.017   0.098
  266  4402.9   0  -0.024   0.102
  267  4404.0   0  -0.019   0.100
  268  4405.0   0   9.999   0.075
  269  4405.9   0   9.999   0.065
  270  4406.9   0   9.999   0.069
  271  4407.0   0  -0.009   0.083
  272  4407.8   0  -0.012   0.086
  273  4408.8   0  -0.017   0.097
  274  4409.8   0  -0.017   0.076
  275  4411.0   0   0.017   0.074
  276  4411.4   9   0.013   9.999
  277  4411.9   0   0.017   0.071
  278  4412.5   9   0.009   9.999
  279  4412.9   0   9.999   0.070
  280  4413.9   0  -0.007   0.077
  281  4414.5   9  -0.012   0.083
  282  4427.8   0   0.025   0.053
  283  4430.5   9   0.062   0.012
  284  4431.4   9   0.041   0.023
  285  4432.4   9   0.042   0.022
  286  4433.4   9   0.044   0.025
  287  4434.5   9   0.034   0.030
  288  4435.5   9   0.034   0.026
  289  4437.4   9   0.086   0.021
  290  4438.4   9   0.082   0.018
  291  4438.7   0   0.081   0.005
